"","nomem_encr","nohouse_encr","wave","geslacht","positie","gebjaar","leeftijd","lftdhhh","aantalhh","aantalki","brutoink_f","nettoink","netinc","nettoink_f","brutohh_f","nettohh_f","oplzon","oplmet","oplcat","simpc","bm10a_m","bm10a001","bm10a004","m_0.5","AA_0.5","m_0.1","AA_0.1","m_0.9","AA_0.9","alpha1","sigma2","child_dif","coef_risk_low","coef_risk_high","tp19a045"
"118",864218,526300,201001,1,1,1972,37,37,4,2,3300,1950,1950,1950,3300,1950,4,4,"mbo",0,201001,2,0,0.0313,0.4687,0.025,0.075,0.9719,-0.0719,1.45,0.704197072446956,0,0.717349210579093,0.295802927553044,100
"119",868151,577789,201001,1,1,1958,51,51,4,2,2788,1700,1700,1700,3999,2800,1,7,"primary",0,201001,1,0,0.3438,0.1562,0.025,0.075,0.7469,0.1531,1.5,0.273808825510905,0,0.72248179628073,0.726191174489095,0
"120",868667,576095,201001,1,1,1971,38,38,4,2,3360,2325,2325,2325,5352,3717,4,4,"mbo",0,201001,1,1,0.5,0,0.1,0,0.2969,0.6031,1.4,1.0631014373675,0,0.389673488465231,-0.0631014373674976,100
"121",869058,595129,201001,2,2,1968,41,39,3,1,0,0,0,0,4000,2623,4,4,"mbo",0,201001,1,0,0.5,0,0.1,0,0.775,0.125,1.5,0.428907270411871,0,0.72248179628073,0.571092729588129,10
"122",869674,505813,201001,2,2,1964,45,51,3,1,1129.34027815537,860,860,860,4829.34027815537,3360,2,2,"vmbo",0,201001,1,0,0.4688,0.0311999999999999,0.1844,-0.0844,0.5219,0.3781,1.5,0.273808825510905,0,0.72248179628073,0.726191174489095,0
"123",870510,546353,201001,1,1,1979,30,30,2,0,1800,1337,1337,1337,2413.93938847597,1837,5,5,"hbo",0,201001,2,1,0.0313,0.4687,0.1844,-0.0844,0.1282,0.7718,1.5,0.142365774893191,2,0.72248179628073,0.857634225106809,10
"124",870568,537252,201001,2,2,1956,53,58,3,1,2050,1300,1300,1300,5240,3190,5,5,"hbo",0,201001,1,0,0.9688,-0.4688,0.1282,-0.0282,0.9719,-0.0719,0,0,0,1,1,0
"125",873358,533740,201001,2,2,1969,40,39,5,3,734,630,630,630,4199,2756,5,5,"hbo",0,201001,2,0,0.0938,0.4062,0.075,0.025,0.025,0.875,1.5,0.142365774893191,0,0.72248179628073,0.857634225106809,400
"126",874996,545474,201001,1,1,1955,54,54,3,1,4570,2250,-13,2250,4570,2250,3,3,"havo/vwo",0,201001,2,0,0.5,0,0.1,0,0.2969,0.6031,0,0,0,1,1,0
"127",877661,585351,201001,1,1,1966,43,43,3,1,2650,1720,1720,1720,4923,3106,5,4,"mbo",0,201001,1,1,0.3438,0.1562,0.1844,-0.0844,0.075,0.825,1.45,0.582513097384896,0,0.717349210579093,0.417486902615104,15
"128",878228,520425,201001,1,1,1968,41,41,4,2,2400,1600,1600,1600,3600,2400,4,4,"mbo",0,201001,1,0,0.5313,-0.0313,0.4094,-0.3094,0.3532,0.5468,1.5,0.142365774893191,0,0.72248179628073,0.857634225106809,150
"129",879211,502993,201001,2,2,1969,40,40,4,2,1300,1000,1000,1000,8300,5000,4,4,"mbo",0,201001,2,1,0.4063,0.0936999999999999,0.025,0.075,0.9719,-0.0719,0,0,0,1,1,0
"130",879675,570910,201001,2,2,1965,44,43,3,1,2500,1800,1800,1800,5200,3700,5,5,"hbo",0,201001,2,0,0.0313,0.4687,0.025,0.075,0.5782,0.3218,1.5,0.142365774893191,0,0.72248179628073,0.857634225106809,0
"131",879968,581643,201001,1,1,1960,49,49,4,2,3200,1800,1800,1800,3920,2300,5,5,"hbo",0,201001,2,0,0.375,0.125,0.1563,-0.0563,0.075,0.825,1.5,0.545555092026272,0,0.411637775270135,0.454444907973728,0
"132",879995,528100,201001,2,5,1985,24,55,4,2,1650,1280,1280,1280,6500,4580,5,3,"havo/vwo",0,201001,1,0,0.25,0.25,0.1,0,0.1,0.8,1.5,0.273808825510905,0,0.411637775270135,0.726191174489095,150
"133",880111,535293,201001,1,1,1971,38,38,5,3,3040,2000,2000,2000,4640,3100,3,2,"vmbo",0,201001,2,0,0.5,0,0.025,0.075,0.9719,-0.0719,0,0,0,1,1,25
